"","species","genus","family","family.in.genus.list","output.note"
"861","Rorippa Sylvestris",NA,NA,"Brassicaceae","insertion based on genus"
"862","Rorippa Nasturtium-Aquaticum",NA,NA,"Brassicaceae","insertion based on genus"
"863","Rorippa Microphylla",NA,NA,"Brassicaceae","insertion based on genus"
"864","Cardamine Bulbifera",NA,NA,"Brassicaceae","insertion based on genus"
"865","Cardamine Amara",NA,NA,"Brassicaceae","insertion based on genus"
"867","Cardamine Impatiens",NA,NA,"Brassicaceae","insertion based on genus"
"868","Cardamine Flexuosa",NA,NA,"Brassicaceae","insertion based on genus"
"869","Cardamine Hirsuta",NA,NA,"Brassicaceae","insertion based on genus"
"870","Arabis Glabra",NA,NA,"Brassicaceae","insertion based on genus"
"871","Arabis Hirsuta",NA,NA,"Brassicaceae","insertion based on genus"
"872","Arabis Scabra",NA,NA,"Brassicaceae","insertion based on genus"
"873","Arabis Alpina",NA,NA,"Brassicaceae","insertion based on genus"
"874","Arabis Caucasica",NA,NA,"Brassicaceae","insertion based on genus"
"875","Draba Aizoides",NA,NA,"Brassicaceae","insertion based on genus"
"876","Draba Incana",NA,NA,"Brassicaceae","insertion based on genus"
"877","Draba Muralis",NA,NA,"Brassicaceae","insertion based on genus"
"878","Erophila Verna",NA,NA,"Brassicaceae","insertion based on family"
"879","Cochlearia Danica",NA,NA,"Brassicaceae","insertion based on genus"
"880","Cochlearia Pyrenaica",NA,NA,"Brassicaceae","insertion based on genus"
"881","Thlaspi Arvense",NA,NA,"Brassicaceae","insertion based on genus"
"882","Thlaspi Caerulescens",NA,NA,"Brassicaceae","insertion based on genus"
"883","Lepidium Ruderale",NA,NA,"Brassicaceae","insertion based on genus"
"884","Lepidium Draba",NA,NA,"Brassicaceae","insertion based on genus"
"885","Coronopus Squamatus",NA,NA,"Brassicaceae","insertion based on family"
"886","Diplotaxis Tenuifolia",NA,NA,"Brassicaceae","insertion based on genus"
"887","Brassica Oleracea",NA,NA,"Brassicaceae","insertion based on genus"
"888","Coincya Monensis",NA,NA,"Brassicaceae","insertion based on genus"
"889","Reseda Luteola",NA,NA,"Resedaceae","insertion based on genus"
"890","Drosera Longifolia",NA,NA,"Droseraceae","insertion based on genus"
"891","Drosera Intermedia",NA,NA,"Droseraceae","insertion based on genus"
"892","Crassula Tillaea",NA,NA,"Crassulaceae","insertion based on genus"
"893","Sedum Telephium",NA,NA,"Crassulaceae","insertion based on genus"
"894","Sedum Spurium",NA,NA,"Crassulaceae","insertion based on genus"
"895","Sedum Forsterianum",NA,NA,"Crassulaceae","insertion based on genus"
"896","Sedum Acre",NA,NA,"Crassulaceae","insertion based on genus"
"897","Sedum Album",NA,NA,"Crassulaceae","insertion based on genus"
"898","Sedum Anglicum",NA,NA,"Crassulaceae","insertion based on genus"
"899","Sedum Villosum",NA,NA,"Crassulaceae","insertion based on genus"
"900","Sedum Rosea",NA,NA,"Crassulaceae","insertion based on genus"
"901","Saxifraga Nivalis",NA,NA,"Saxifragaceae","insertion based on genus"
"902","Saxifraga Stellaris",NA,NA,"Saxifragaceae","insertion based on genus"
"903","Saxifraga Spathularis",NA,NA,"Saxifragaceae","insertion based on genus"
"904","Saxifraga Hirsuta",NA,NA,"Saxifragaceae","insertion based on genus"
"905","Saxifraga Hirculus",NA,NA,"Saxifragaceae","insertion based on genus"
"908","Saxifraga Tridactylites",NA,NA,"Saxifragaceae","insertion based on genus"
"909","Saxifraga Aizoides",NA,NA,"Saxifragaceae","insertion based on genus"
"910","Saxifraga Cespitosa",NA,NA,"Saxifragaceae","insertion based on genus"
"911","Saxifraga Rosacea",NA,NA,"Saxifragaceae","insertion based on genus"
"912","Saxifraga Hypnoides",NA,NA,"Saxifragaceae","insertion based on genus"
"913","Saxifraga Granulata",NA,NA,"Saxifragaceae","insertion based on genus"
"915","Saxifraga Rivularis",NA,NA,"Saxifragaceae","insertion based on genus"
"916","Saxifraga Cernua",NA,NA,"Saxifragaceae","insertion based on genus"
"918","Saxifraga Oppositifolia",NA,NA,"Saxifragaceae","insertion based on genus"
"920","Chrysosplenium Oppositifolium",NA,NA,"Saxifragaceae","insertion based on genus"
"923","Ribes Rubrum",NA,NA,"Grossulariaceae","insertion based on genus"
"924","Ribes Spicatum",NA,NA,"Grossulariaceae","insertion based on genus"
"925","Ribes Nigrum",NA,NA,"Grossulariaceae","insertion based on genus"
"926","Ribes Uva-Crispa",NA,NA,"Grossulariaceae","insertion based on genus"
"928","Spiraea Salicifolia",NA,NA,"Rosaceae","insertion based on genus"
"929","Filipendula Ulmaria",NA,NA,"Rosaceae","insertion based on genus"
"930","Rubus Chamaemorus",NA,NA,"Rosaceae","insertion based on genus"
"932","Rubus Saxatilis",NA,NA,"Rosaceae","insertion based on genus"
"933","Rubus Spectabilis",NA,NA,"Rosaceae","insertion based on genus"
"934","Rubus Idaeus",NA,NA,"Rosaceae","insertion based on genus"
"936","Rubus Caesius",NA,NA,"Rosaceae","insertion based on genus"
"937","Rosa Arvensis",NA,NA,"Rosaceae","insertion based on genus"
"938","Rosa Pimpinellifolia",NA,NA,"Rosaceae","insertion based on genus"
"939","Rosa Stylosa",NA,NA,"Rosaceae","insertion based on genus"
"940","Rosa Canina",NA,NA,"Rosaceae","insertion based on genus"
"941","Rosa Caesia",NA,NA,"Rosaceae","insertion based on genus"
"942","Rosa Obtusifolia",NA,NA,"Rosaceae","insertion based on genus"
"943","Rosa Tomentosa",NA,NA,"Rosaceae","insertion based on genus"
"944","Rosa Sherardii",NA,NA,"Rosaceae","insertion based on genus"
"945","Rosa Mollis",NA,NA,"Rosaceae","insertion based on genus"
"946","Rosa Agrestis",NA,NA,"Rosaceae","insertion based on genus"
"947","Rosa Micrantha",NA,NA,"Rosaceae","insertion based on genus"
"948","Agrimonia Eupatoria",NA,NA,"Rosaceae","insertion based on genus"
"949","Sanguisorba Minor",NA,NA,"Rosaceae","insertion based on genus"
"950","Acaena Novae-Zelandiae",NA,NA,"Rosaceae","insertion based on genus"
"951","Geum Rivale",NA,NA,"Rosaceae","insertion based on genus"
"954","Potentilla Fruticosa",NA,NA,"Rosaceae","insertion based on genus"
"955","Potentilla Palustris",NA,NA,"Rosaceae","insertion based on genus"
"956","Potentilla Anserina",NA,NA,"Rosaceae","insertion based on genus"
"958","Potentilla Rupestris",NA,NA,"Rosaceae","insertion based on genus"
"959","Potentilla Argentea",NA,NA,"Rosaceae","insertion based on genus"
"960","Potentilla Norvegica",NA,NA,"Rosaceae","insertion based on genus"
"961","Potentilla Recta",NA,NA,"Rosaceae","insertion based on genus"
"962","Potentilla Crantzii",NA,NA,"Rosaceae","insertion based on genus"
"963","Potentilla Neumanniana",NA,NA,"Rosaceae","insertion based on genus"
"964","Potentilla Anglica",NA,NA,"Rosaceae","insertion based on genus"
"965","Potentilla Reptans",NA,NA,"Rosaceae","insertion based on genus"
"967","Potentilla Sterilis",NA,NA,"Rosaceae","insertion based on genus"
"968","Alchemilla Alpina",NA,NA,"Rosaceae","insertion based on genus"
"969","Alchemilla Glaucescens",NA,NA,"Rosaceae","insertion based on genus"
"970","Alchemilla Monticola",NA,NA,"Rosaceae","insertion based on genus"
"971","Alchemilla Acutiloba",NA,NA,"Rosaceae","insertion based on genus"
"972","Alchemilla Gracilis",NA,NA,"Rosaceae","insertion based on genus"
"973","Alchemilla Xanthochlora",NA,NA,"Rosaceae","insertion based on genus"
"974","Alchemilla Filicaulis",NA,NA,"Rosaceae","insertion based on genus"
"975","Alchemilla Minima",NA,NA,"Rosaceae","insertion based on genus"
"976","Alchemilla Glomerulans",NA,NA,"Rosaceae","insertion based on genus"
"977","Alchemilla Wichurae",NA,NA,"Rosaceae","insertion based on genus"
"978","Alchemilla Glabra",NA,NA,"Rosaceae","insertion based on genus"
"979","Aphanes Arvensis",NA,NA,"Rosaceae","insertion based on genus"
"980","Malus Sylvestris",NA,NA,"Rosaceae","insertion based on genus"
"981","Cotoneaster Horizontalis",NA,NA,"Rosaceae","insertion based on genus"
"982","Cotoneaster Simonsii",NA,NA,"Rosaceae","insertion based on genus"
"983","Cotoneaster Integerrimus",NA,NA,"Rosaceae","insertion based on genus"
"984","Cotoneaster Integrifolius",NA,NA,"Rosaceae","insertion based on genus"
"985","Crataegus Laevigata",NA,NA,"Rosaceae","insertion based on genus"
"986","Prunus Spinosa",NA,NA,"Rosaceae","insertion based on genus"
"987","Prunus Domestica",NA,NA,"Rosaceae","insertion based on genus"
"988","Prunus Avium",NA,NA,"Rosaceae","insertion based on genus"
"989","Prunus Serotina",NA,NA,"Rosaceae","insertion based on genus"
"990","Prunus Laurocerasus",NA,NA,"Rosaceae","insertion based on genus"
"991","Genista Pilosa",NA,NA,"Fabaceae","insertion based on genus"
"992","Genista Anglica",NA,NA,"Fabaceae","insertion based on genus"
"993","Ulex Europaeus",NA,NA,"Fabaceae","insertion based on genus"
"994","Ulex Gallii",NA,NA,"Fabaceae","insertion based on genus"
"995","Lupinus Nootkatensis",NA,NA,"Fabaceae","insertion based on genus"
"996","Lupinus Polyphyllus",NA,NA,"Fabaceae","insertion based on genus"
"997","Astragalus Danicus",NA,NA,"Fabaceae","insertion based on genus"
"998","Astragalus Alpinus",NA,NA,"Fabaceae","insertion based on genus"
"999","Oxytropis Halleri",NA,NA,"Fabaceae","insertion based on genus"
"1000","Vicia Cracca",NA,NA,"Fabaceae","insertion based on genus"
"1001","Vicia Orobus",NA,NA,"Fabaceae","insertion based on genus"
"1002","Vicia Sylvatica",NA,NA,"Fabaceae","insertion based on genus"
"1003","Vicia Hirsuta",NA,NA,"Fabaceae","insertion based on genus"
"1004","Vicia Parviflora",NA,NA,"Fabaceae","insertion based on genus"
"1005","Vicia Tetrasperma",NA,NA,"Fabaceae","insertion based on genus"
"1006","Vicia Bithynica",NA,NA,"Fabaceae","insertion based on genus"
"1007","Vicia Sativa",NA,NA,"Fabaceae","insertion based on genus"
"1008","Vicia Lathyroides",NA,NA,"Fabaceae","insertion based on genus"
"1009","Vicia Lutea",NA,NA,"Fabaceae","insertion based on genus"
"1010","Lathyrus Niger",NA,NA,"Fabaceae","insertion based on genus"
"1011","Lathyrus Japonicus",NA,NA,"Fabaceae","insertion based on genus"
"1012","Lathyrus Linifolius",NA,NA,"Fabaceae","insertion based on genus"
"1013","Lathyrus Pratensis",NA,NA,"Fabaceae","insertion based on genus"
"1014","Lathyrus Palustris",NA,NA,"Fabaceae","insertion based on genus"
"1015","Lathyrus Sylvestris",NA,NA,"Fabaceae","insertion based on genus"
"1016","Lathyrus Nissolia",NA,NA,"Fabaceae","insertion based on genus"
"1017","Ononis Reclinata",NA,NA,"Fabaceae","insertion based on genus"
"1018","Ononis Repens",NA,NA,"Fabaceae","insertion based on genus"
"1019","Melilotus Altissimus",NA,NA,"Fabaceae","insertion based on genus"
"1020","Melilotus Officinalis",NA,NA,"Fabaceae","insertion based on genus"
"1021","Medicago Sativa",NA,NA,"Fabaceae","insertion based on genus"
"1022","Medicago Arabica",NA,NA,"Fabaceae","insertion based on genus"
"1023","Medicago Polymorpha",NA,NA,"Fabaceae","insertion based on genus"
"1024","Medicago Minima",NA,NA,"Fabaceae","insertion based on genus"
"1025","Trifolium Ornithopodioides",NA,NA,"Fabaceae","insertion based on genus"
"1026","Trifolium Strictum",NA,NA,"Fabaceae","insertion based on genus"
"1027","Trifolium Repens",NA,NA,"Fabaceae","insertion based on genus"
"1028","Trifolium Hybridum",NA,NA,"Fabaceae","insertion based on genus"
"1029","Trifolium Glomeratum",NA,NA,"Fabaceae","insertion based on genus"
"1030","Trifolium Suffocatum",NA,NA,"Fabaceae","insertion based on genus"
"1031","Trifolium Fragiferum",NA,NA,"Fabaceae","insertion based on genus"
"1032","Trifolium Aureum",NA,NA,"Fabaceae","insertion based on genus"
"1033","Trifolium Campestre",NA,NA,"Fabaceae","insertion based on genus"
"1034","Trifolium Dubium",NA,NA,"Fabaceae","insertion based on genus"
"1035","Trifolium Micranthum",NA,NA,"Fabaceae","insertion based on genus"
"1036","Trifolium Striatum",NA,NA,"Fabaceae","insertion based on genus"
"1037","Trifolium Arvense",NA,NA,"Fabaceae","insertion based on genus"
"1038","Trifolium Bocconei",NA,NA,"Fabaceae","insertion based on genus"
"1039","Trifolium Scabrum",NA,NA,"Fabaceae","insertion based on genus"
"1040","Trifolium Incarnatum",NA,NA,"Fabaceae","insertion based on genus"
"1041","Trifolium Pratense",NA,NA,"Fabaceae","insertion based on genus"
"1042","Trifolium Medium",NA,NA,"Fabaceae","insertion based on genus"
"1043","Trifolium Ochroleucon",NA,NA,"Fabaceae","insertion based on genus"
"1044","Trifolium Squamosum",NA,NA,"Fabaceae","insertion based on genus"
"1045","Trifolium Subterraneum",NA,NA,"Fabaceae","insertion based on genus"
"1046","Lotus Corniculatus",NA,NA,"Fabaceae","insertion based on genus"
"1047","Lotus Pedunculatus",NA,NA,"Fabaceae","insertion based on genus"
"1048","Lotus Subbiflorus",NA,NA,"Fabaceae","insertion based on genus"
"1049","Lotus Angustissimus",NA,NA,"Fabaceae","insertion based on genus"
"1050","Ornithopus Pinnatus",NA,NA,"Fabaceae","insertion based on genus"
"1051","Oxalis Corniculata",NA,NA,"Oxalidaceae","insertion based on genus"
"1052","Oxalis Articulata",NA,NA,"Oxalidaceae","insertion based on genus"
"1053","Oxalis Acetosella",NA,NA,"Oxalidaceae","insertion based on genus"
"1054","Oxalis Pes-Caprae",NA,NA,"Oxalidaceae","insertion based on genus"
"1055","Geranium Sanguineum",NA,NA,"Geraniaceae","insertion based on genus"
"1057","Geranium Pratense",NA,NA,"Geraniaceae","insertion based on genus"
"1059","Geranium Sylvaticum",NA,NA,"Geraniaceae","insertion based on genus"
"1062","Geranium Endressii",NA,NA,"Geraniaceae","insertion based on genus"
"1063","Geranium Versicolor",NA,NA,"Geraniaceae","insertion based on genus"
"1064","Geranium Phaeum",NA,NA,"Geraniaceae","insertion based on genus"
"1066","Geranium Rotundifolium",NA,NA,"Geraniaceae","insertion based on genus"
"1067","Geranium Molle",NA,NA,"Geraniaceae","insertion based on genus"
"1069","Geranium Pusillum",NA,NA,"Geraniaceae","insertion based on genus"
"1070","Geranium Columbinum",NA,NA,"Geraniaceae","insertion based on genus"
"1072","Geranium Dissectum",NA,NA,"Geraniaceae","insertion based on genus"
"1073","Geranium Lucidum",NA,NA,"Geraniaceae","insertion based on genus"
"1075","Geranium Robertianum",NA,NA,"Geraniaceae","insertion based on genus"
"1077","Geranium Purpureum",NA,NA,"Geraniaceae","insertion based on genus"
"1078","Erodium Cicutarium",NA,NA,"Geraniaceae","insertion based on genus"
"1080","Erodium Moschatum",NA,NA,"Geraniaceae","insertion based on genus"
"1081","Linum Perenne",NA,NA,"Linaceae","insertion based on genus"
"1082","Linum Catharticum",NA,NA,"Linaceae","insertion based on genus"
"1083","Mercurialis Annua",NA,NA,"Euphorbiaceae","insertion based on genus"
"1086","Euphorbia Peplis",NA,NA,"Euphorbiaceae","insertion based on genus"
"1087","Euphorbia Hyberna",NA,NA,"Euphorbiaceae","insertion based on genus"
"1088","Euphorbia Dulcis",NA,NA,"Euphorbiaceae","insertion based on genus"
"1089","Euphorbia Platyphyllos",NA,NA,"Euphorbiaceae","insertion based on genus"
"1090","Euphorbia Helioscopia",NA,NA,"Euphorbiaceae","insertion based on genus"
"1091","Euphorbia Exigua",NA,NA,"Euphorbiaceae","insertion based on genus"
"1092","Euphorbia Peplus",NA,NA,"Euphorbiaceae","insertion based on genus"
"1093","Euphorbia Portlandica",NA,NA,"Euphorbiaceae","insertion based on genus"
"1094","Euphorbia Paralias",NA,NA,"Euphorbiaceae","insertion based on genus"
"1095","Euphorbia Esula",NA,NA,"Euphorbiaceae","insertion based on genus"
"1097","Euphorbia Cyparissias",NA,NA,"Euphorbiaceae","insertion based on genus"
"1098","Euphorbia Amygdaloides",NA,NA,"Euphorbiaceae","insertion based on genus"
"1099","Polygala Serpyllifolia",NA,NA,"Polygalaceae","insertion based on genus"
"1100","Polygala Calcarea",NA,NA,"Polygalaceae","insertion based on genus"
"1101","Polygala Amarella",NA,NA,"Polygalaceae","insertion based on genus"
"1102","Acer Platanoides",NA,NA,"Sapindaceae","insertion based on genus"
"1103","Acer Pseudoplatanus",NA,NA,"Sapindaceae","insertion based on genus"
"1104","Impatiens Noli-Tangere",NA,NA,"Balsaminaceae","insertion based on genus"
"1105","Impatiens Capensis",NA,NA,"Balsaminaceae","insertion based on genus"
"1106","Impatiens Glandulifera",NA,NA,"Balsaminaceae","insertion based on genus"
"1107","Tilia Cordata",NA,NA,"Malvaceae","insertion based on genus"
"1108","Malva Sylvestris",NA,NA,"Malvaceae","insertion based on genus"
"1109","Malva Neglecta",NA,NA,"Malvaceae","insertion based on genus"
"1110","Lavatera Arborea",NA,NA,"Malvaceae","insertion based on family"
"1111","Daphne Laureola",NA,NA,"Thymelaeaceae","insertion based on genus"
"1113","Hypericum Calycinum",NA,NA,"Hypericaceae","insertion based on genus"
"1114","Hypericum Androsaemum",NA,NA,"Hypericaceae","insertion based on genus"
"1115","Hypericum Pulchrum",NA,NA,"Hypericaceae","insertion based on genus"
"1116","Hypericum Montanum",NA,NA,"Hypericaceae","insertion based on genus"
"1117","Hypericum Elodes",NA,NA,"Hypericaceae","insertion based on genus"
"1118","Hypericum Linariifolium",NA,NA,"Hypericaceae","insertion based on genus"
"1119","Hypericum Humifusum",NA,NA,"Hypericaceae","insertion based on genus"
"1120","Hypericum Tetrapterum",NA,NA,"Hypericaceae","insertion based on genus"
"1121","Hypericum Undulatum",NA,NA,"Hypericaceae","insertion based on genus"
"1122","Hypericum Maculatum",NA,NA,"Hypericaceae","insertion based on genus"
"1123","Hypericum Perforatum",NA,NA,"Hypericaceae","insertion based on genus"
"1124","Hypericum Canadense",NA,NA,"Hypericaceae","insertion based on genus"
"1125","Viola Odorata",NA,NA,"Violaceae","insertion based on genus"
"1126","Viola Hirta",NA,NA,"Violaceae","insertion based on genus"
"1127","Viola Rupestris",NA,NA,"Violaceae","insertion based on genus"
"1128","Viola Reichenbachiana",NA,NA,"Violaceae","insertion based on genus"
"1129","Viola Riviniana",NA,NA,"Violaceae","insertion based on genus"
"1130","Viola Canina",NA,NA,"Violaceae","insertion based on genus"
"1131","Viola Lactea",NA,NA,"Violaceae","insertion based on genus"
"1132","Viola Persicifolia",NA,NA,"Violaceae","insertion based on genus"
"1133","Viola Palustris",NA,NA,"Violaceae","insertion based on genus"
"1134","Viola Cornuta",NA,NA,"Violaceae","insertion based on genus"
"1135","Viola Lutea",NA,NA,"Violaceae","insertion based on genus"
"1136","Viola Tricolor",NA,NA,"Violaceae","insertion based on genus"
"1137","Viola Arvensis",NA,NA,"Violaceae","insertion based on genus"
"1138","Helianthemum Apenninum",NA,NA,"Cistaceae","insertion based on genus"
"1139","Helianthemum Canum",NA,NA,"Cistaceae","insertion based on genus"
"1140","Elatine Hydropiper",NA,NA,"Elatinaceae","insertion based on genus"
"1141","Lythrum Salicaria",NA,NA,"Lythraceae","insertion based on genus"
"1142","Lythrum Portula",NA,NA,"Lythraceae","insertion based on genus"
"1143","Circaea Lutetiana",NA,NA,"Onagraceae","insertion based on genus"
"1144","Circaea Alpina",NA,NA,"Onagraceae","insertion based on genus"
"1145","Oenothera Biennis",NA,NA,"Onagraceae","insertion based on genus"
"1146","Oenothera Glazioviana",NA,NA,"Onagraceae","insertion based on genus"
"1147","Oenothera Stricta",NA,NA,"Onagraceae","insertion based on genus"
"1148","Epilobium Hirsutum",NA,NA,"Onagraceae","insertion based on genus"
"1151","Epilobium Parviflorum",NA,NA,"Onagraceae","insertion based on genus"
"1152","Epilobium Montanum",NA,NA,"Onagraceae","insertion based on genus"
"1153","Epilobium Tetragonum",NA,NA,"Onagraceae","insertion based on genus"
"1154","Epilobium Obscurum",NA,NA,"Onagraceae","insertion based on genus"
"1155","Epilobium Roseum",NA,NA,"Onagraceae","insertion based on genus"
"1156","Epilobium Palustre",NA,NA,"Onagraceae","insertion based on genus"
"1157","Epilobium Anagallidifolium",NA,NA,"Onagraceae","insertion based on genus"
"1158","Epilobium Alsinifolium",NA,NA,"Onagraceae","insertion based on genus"
"1159","Epilobium Ciliatum",NA,NA,"Onagraceae","insertion based on genus"
"1160","Epilobium Brunnescens",NA,NA,"Onagraceae","insertion based on genus"
"1161","Myriophyllum Verticillatum",NA,NA,"Haloragaceae","insertion based on genus"
"1162","Myriophyllum Spicatum",NA,NA,"Haloragaceae","insertion based on genus"
"1163","Cornus Sanguinea",NA,NA,"Cornaceae","insertion based on genus"
"1164","Eryngium Campestre",NA,NA,"Apiaceae","insertion based on genus"
"1165","Anthriscus Sylvestris",NA,NA,"Apiaceae","insertion based on genus"
"1166","Pimpinella Major",NA,NA,"Apiaceae","insertion based on genus"
"1169","Oenanthe Fistulosa",NA,NA,"Apiaceae","insertion based on genus"
"1170","Oenanthe Aquatica",NA,NA,"Apiaceae","insertion based on genus"
"1171","Apium Graveolens",NA,NA,"Apiaceae","insertion based on genus"
"1172","Apium Nodiflorum",NA,NA,"Apiaceae","insertion based on genus"
"1173","Apium Inundatum",NA,NA,"Apiaceae","insertion based on genus"
"1174","Angelica Archangelica",NA,NA,"Apiaceae","insertion based on genus"
"1175","Heracleum Sphondylium",NA,NA,"Apiaceae","insertion based on genus"
"1177","Torilis Japonica",NA,NA,"Apiaceae","insertion based on genus"
"1178","Pyrola Media",NA,NA,"Ericaceae","insertion based on genus"
"1179","Pyrola Rotundifolia",NA,NA,"Ericaceae","insertion based on genus"
"1180","Erica Ciliaris",NA,NA,"Ericaceae","insertion based on genus"
"1181","Erica Mackaiana",NA,NA,"Ericaceae","insertion based on genus"
"1182","Erica Tetralix",NA,NA,"Ericaceae","insertion based on genus"
"1183","Erica Cinerea",NA,NA,"Ericaceae","insertion based on genus"
"1184","Erica Vagans",NA,NA,"Ericaceae","insertion based on genus"
"1185","Erica Erigena",NA,NA,"Ericaceae","insertion based on genus"
"1186","Rhododendron Luteum",NA,NA,"Ericaceae","insertion based on genus"
"1187","Arctostaphylos Uva-Ursi",NA,NA,"Ericaceae","insertion based on genus"
"1188","Gaultheria Shallon",NA,NA,"Ericaceae","insertion based on genus"
"1189","Vaccinium Microcarpum",NA,NA,"Ericaceae","insertion based on genus"
"1190","Vaccinium Vitis-Idaea",NA,NA,"Ericaceae","insertion based on genus"
"1191","Vaccinium Uliginosum",NA,NA,"Ericaceae","insertion based on genus"
"1192","Vaccinium Myrtillus",NA,NA,"Ericaceae","insertion based on genus"
"1193","Primula Vulgaris",NA,NA,"Primulaceae","insertion based on genus"
"1194","Primula Elatior",NA,NA,"Primulaceae","insertion based on genus"
"1195","Primula Veris",NA,NA,"Primulaceae","insertion based on genus"
"1196","Primula Scotica",NA,NA,"Primulaceae","insertion based on genus"
"1197","Lysimachia Nemorum",NA,NA,"Primulaceae","insertion based on genus"
"1198","Lysimachia Vulgaris",NA,NA,"Primulaceae","insertion based on genus"
"1199","Lysimachia Terrestris",NA,NA,"Primulaceae","insertion based on genus"
"1200","Lysimachia Punctata",NA,NA,"Primulaceae","insertion based on genus"
"1201","Lysimachia Thyrsiflora",NA,NA,"Primulaceae","insertion based on genus"
"1202","Anagallis Minima",NA,NA,"Primulaceae","insertion based on family"
"1203","Anagallis Arvensis",NA,NA,"Primulaceae","insertion based on family"
"1204","Limonium Vulgare",NA,NA,"Plumbaginaceae","insertion based on genus"
"1205","Limonium Bellidifolium",NA,NA,"Plumbaginaceae","insertion based on genus"
"1206","Limonium Binervosum Agg.",NA,NA,"Plumbaginaceae","insertion based on genus"
"1207","Centaurium Erythraea",NA,NA,"Gentianaceae","insertion based on genus"
"1208","Centaurium Littorale",NA,NA,"Gentianaceae","insertion based on genus"
"1209","Centaurium Pulchellum",NA,NA,"Gentianaceae","insertion based on genus"
"1210","Centaurium Tenuiflorum",NA,NA,"Gentianaceae","insertion based on genus"
"1211","Gentiana Pneumonanthe",NA,NA,"Gentianaceae","insertion based on genus"
"1212","Gentiana Nivalis",NA,NA,"Gentianaceae","insertion based on genus"
"1213","Gentianella Campestris",NA,NA,"Gentianaceae","insertion based on genus"
"1214","Gentianella Amarella",NA,NA,"Gentianaceae","insertion based on genus"
"1215","Gentianella Uliginosa",NA,NA,"Gentianaceae","insertion based on genus"
"1216","Gentianella Anglica",NA,NA,"Gentianaceae","insertion based on genus"
"1217","Gentianella Germanica",NA,NA,"Gentianaceae","insertion based on genus"
"1218","Galium Boreale",NA,NA,"Rubiaceae","insertion based on genus"
"1219","Galium Odoratum",NA,NA,"Rubiaceae","insertion based on genus"
"1220","Galium Uliginosum",NA,NA,"Rubiaceae","insertion based on genus"
"1221","Galium Constrictum",NA,NA,"Rubiaceae","insertion based on genus"
"1222","Galium Palustre",NA,NA,"Rubiaceae","insertion based on genus"
"1223","Galium Verum",NA,NA,"Rubiaceae","insertion based on genus"
"1224","Galium Mollugo",NA,NA,"Rubiaceae","insertion based on genus"
"1225","Galium Pumilum",NA,NA,"Rubiaceae","insertion based on genus"
"1226","Galium Sterneri",NA,NA,"Rubiaceae","insertion based on genus"
"1227","Galium Saxatile",NA,NA,"Rubiaceae","insertion based on genus"
"1228","Galium Parisiense",NA,NA,"Rubiaceae","insertion based on genus"
"1229","Cuscuta Europaea",NA,NA,"Convolvulaceae","insertion based on genus"
"1230","Calystegia Soldanella",NA,NA,"Convolvulaceae","insertion based on genus"
"1231","Calystegia Sepium",NA,NA,"Convolvulaceae","insertion based on genus"
"1233","Lithospermum Purpurocaeruleum",NA,NA,"Boraginaceae","insertion based on genus"
"1234","Lithospermum Arvense",NA,NA,"Boraginaceae","insertion based on genus"
"1235","Echium Vulgare",NA,NA,"Boraginaceae","insertion based on genus"
"1237","Pulmonaria Officinalis",NA,NA,"Boraginaceae","insertion based on genus"
"1238","Symphytum Officinale",NA,NA,"Boraginaceae","insertion based on genus"
"1239","Symphytum X Uplandicum",NA,NA,"Boraginaceae","insertion based on genus"
"1240","Symphytum Tuberosum",NA,NA,"Boraginaceae","insertion based on genus"
"1241","Symphytum Grandiflorum",NA,NA,"Boraginaceae","insertion based on genus"
"1242","Myosotis Arvensis",NA,NA,"Boraginaceae","insertion based on genus"
"1243","Myosotis Ramosissima",NA,NA,"Boraginaceae","insertion based on genus"
"1244","Myosotis Discolor",NA,NA,"Boraginaceae","insertion based on genus"
"1245","Myosotis Sylvatica",NA,NA,"Boraginaceae","insertion based on genus"
"1246","Myosotis Secunda",NA,NA,"Boraginaceae","insertion based on genus"
"1247","Myosotis Stolonifera",NA,NA,"Boraginaceae","insertion based on genus"
"1248","Myosotis Laxa",NA,NA,"Boraginaceae","insertion based on genus"
"1250","Myosotis Scorpioides",NA,NA,"Boraginaceae","insertion based on genus"
"1252","Cynoglossum Officinale",NA,NA,"Boraginaceae","insertion based on genus"
"1253","Callitriche Hermaphroditica",NA,NA,"Plantaginaceae","insertion based on family"
"1254","Callitriche Truncata",NA,NA,"Plantaginaceae","insertion based on family"
"1255","Callitriche Stagnalis",NA,NA,"Plantaginaceae","insertion based on family"
"1256","Callitriche Obtusangula",NA,NA,"Plantaginaceae","insertion based on family"
"1257","Callitriche Platycarpa",NA,NA,"Plantaginaceae","insertion based on family"
"1258","Callitriche Hamulata",NA,NA,"Plantaginaceae","insertion based on family"
"1259","Ajuga Pyramidalis",NA,NA,"Lamiaceae","insertion based on genus"
"1261","Ajuga Reptans",NA,NA,"Lamiaceae","insertion based on genus"
"1262","Teucrium Scorodonia",NA,NA,"Lamiaceae","insertion based on genus"
"1264","Teucrium Scordium",NA,NA,"Lamiaceae","insertion based on genus"
"1265","Scutellaria Minor",NA,NA,"Lamiaceae","insertion based on genus"
"1266","Galeopsis Segetum",NA,NA,"Lamiaceae","insertion based on genus"
