"plant_no","leafP","leafP_val","plant_name.x.x","genus.x.x","family.x.x","leafN","leafN_val","plant_name.y.x","genus.y.x","family.y.x","plant_name","no_bugs","cl","clonality_state","plant_name.x.y","genus.x.y","family.x.y","dicliny","dicliny_val","plant_name.y.y","genus.y.y","family.y.y"
1230050100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPILOBIUM LANCEOLATUM",3,"Clonality: normal state","Little or no vegetative spread","EPILOBIUM LANCEOLATUM","EPILOBIUM","ONAGRACEAE","Dicliny","hermaphrodite","EPILOBIUM LANCEOLATUM","EPILOBIUM","ONAGRACEAE"
1230050120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","EPILOBIUM TETRAGONUM","EPILOBIUM","ONAGRACEAE","Dicliny","hermaphrodite","EPILOBIUM TETRAGONUM","EPILOBIUM","ONAGRACEAE"
1230050130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","EPILOBIUM OBSCURUM","EPILOBIUM","ONAGRACEAE","Dicliny","hermaphrodite","EPILOBIUM OBSCURUM","EPILOBIUM","ONAGRACEAE"
1230050140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","EPILOBIUM ROSEUM","EPILOBIUM","ONAGRACEAE","Dicliny","hermaphrodite","EPILOBIUM ROSEUM","EPILOBIUM","ONAGRACEAE"
1230050150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPILOBIUM PALUSTRE",3,"Clonality: normal state","Rhizome shortly creeping","EPILOBIUM PALUSTRE","EPILOBIUM","ONAGRACEAE","Dicliny","hermaphrodite","EPILOBIUM PALUSTRE","EPILOBIUM","ONAGRACEAE"
1230050200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Shortly creeping stolons in illuminated medium","EPILOBIUM ANAGALLIDIFOLIUM","EPILOBIUM","ONAGRACEAE","Dicliny","hermaphrodite","EPILOBIUM ANAGALLIDIFOLIUM","EPILOBIUM","ONAGRACEAE"
1230050230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPILOBIUM ALSINIFOLIUM",1,"Clonality: normal state","Rhizome shortly creeping","EPILOBIUM ALSINIFOLIUM","EPILOBIUM","ONAGRACEAE","Dicliny","hermaphrodite","EPILOBIUM ALSINIFOLIUM","EPILOBIUM","ONAGRACEAE"
1230050268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","EPILOBIUM CILIATUM","EPILOBIUM","ONAGRACEAE","Dicliny","hermaphrodite","EPILOBIUM CILIATUM","EPILOBIUM","ONAGRACEAE"
1230050279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Extensively creeping and rooting at nodes","EPILOBIUM BRUNNESCENS","EPILOBIUM","ONAGRACEAE","Dicliny","hermaphrodite","EPILOBIUM BRUNNESCENS","EPILOBIUM","ONAGRACEAE"
1240020010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Irregularly fragmenting (mainly water plants)","MYRIOPHYLLUM VERTICILLATUM","MYRIOPHYLLUM","HALORAGACEAE","Dicliny","gynoandromonoecious","MYRIOPHYLLUM VERTICILLATUM","MYRIOPHYLLUM","HALORAGACEAE"
1240020020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Irregularly fragmenting (mainly water plants)","MYRIOPHYLLUM SPICATUM","MYRIOPHYLLUM","HALORAGACEAE","Dicliny","gynoandromonoecious","MYRIOPHYLLUM SPICATUM","MYRIOPHYLLUM","HALORAGACEAE"
1240020020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Irregularly fragmenting (mainly water plants)","MYRIOPHYLLUM SPICATUM","MYRIOPHYLLUM","HALORAGACEAE","Dicliny","monoecious","MYRIOPHYLLUM SPICATUM","MYRIOPHYLLUM","HALORAGACEAE"
1240020030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Irregularly fragmenting (mainly water plants)","MYRIOPHYLLUM ALTERNIFLORUM","MYRIOPHYLLUM","HALORAGACEAE","Dicliny","gynoandromonoecious","MYRIOPHYLLUM ALTERNIFLORUM","MYRIOPHYLLUM","HALORAGACEAE"
1260010010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome far creeping","HIPPURIS VULGARIS","HIPPURIS","HIPPURIDACEAE","Dicliny","gynodioecious","HIPPURIS VULGARIS","HIPPURIS","HIPPURIDACEAE"
1260010010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome far creeping","HIPPURIS VULGARIS","HIPPURIS","HIPPURIDACEAE","Dicliny","hermaphrodite","HIPPURIS VULGARIS","HIPPURIS","HIPPURIDACEAE"
1270010010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CORNUS SANGUINEA",1,"Clonality: normal state","Clones formed by suckering from roots","CORNUS SANGUINEA","CORNUS","CORNACEAE","Dicliny","hermaphrodite","CORNUS SANGUINEA","CORNUS","CORNACEAE"
1270010050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CORNUS SUECICA",2,"Clonality: normal state","Rhizome far creeping","CORNUS SUECICA","CORNUS","CORNACEAE","Dicliny","hermaphrodite","CORNUS SUECICA","CORNUS","CORNACEAE"
1280010010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HEDERA HELIX",78,"Clonality: normal state","Extensively creeping and rooting at nodes","HEDERA HELIX","HEDERA","ARALIACEAE","Dicliny","hermaphrodite","HEDERA HELIX","HEDERA","ARALIACEAE"
1290010030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Extensively creeping and rooting at nodes","HYDROCOTYLE VULGARIS","HYDROCOTYLE","APIACEAE","Dicliny","hermaphrodite","HYDROCOTYLE VULGARIS","HYDROCOTYLE","APIACEAE"
1290040010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SANICULA EUROPAEA",2,"Clonality: normal state","Little or no vegetative spread","SANICULA EUROPAEA","SANICULA","APIACEAE","Dicliny","hermaphrodite","SANICULA EUROPAEA","SANICULA","APIACEAE"
1290070080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERYNGIUM MARITIMUM",5,"Clonality: normal state","Little or no vegetative spread","ERYNGIUM MARITIMUM","ERYNGIUM","APIACEAE","Dicliny","hermaphrodite","ERYNGIUM MARITIMUM","ERYNGIUM","APIACEAE"
1290070240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ERYNGIUM CAMPESTRE","ERYNGIUM","APIACEAE","Dicliny","andromonoecious","ERYNGIUM CAMPESTRE","ERYNGIUM","APIACEAE"
1290120120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHAEROPHYLLUM TEMULUM",13,"Clonality: normal state","Little or no vegetative spread","CHAEROPHYLLUM TEMULUM","CHAEROPHYLLUM","APIACEAE","Dicliny","andromonoecious","CHAEROPHYLLUM TEMULUM","CHAEROPHYLLUM","APIACEAE"
1290130010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTHRISCUS SYLVESTRIS",17,"Clonality: normal state","Little or no vegetative spread","ANTHRISCUS SYLVESTRIS","ANTHRISCUS","APIACEAE","Dicliny","andromonoecious","ANTHRISCUS SYLVESTRIS","ANTHRISCUS","APIACEAE"
1290130060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTHRISCUS CAUCALIS",1,"Clonality: normal state","Little or no vegetative spread","ANTHRISCUS CAUCALIS","ANTHRISCUS","APIACEAE","Dicliny","hermaphrodite","ANTHRISCUS CAUCALIS","ANTHRISCUS","APIACEAE"
1290140030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","SCANDIX PECTEN-VENERIS","SCANDIX","APIACEAE","Dicliny","andromonoecious","SCANDIX PECTEN-VENERIS","SCANDIX","APIACEAE"
1290150010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MYRRHIS ODORATA",1,"Clonality: normal state","Little or no vegetative spread","MYRRHIS ODORATA","MYRRHIS","APIACEAE","Dicliny","androdioecious","MYRRHIS ODORATA","MYRRHIS","APIACEAE"
1290200010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMYRNIUM OLUSATRUM",12,"Clonality: normal state","Little or no vegetative spread","SMYRNIUM OLUSATRUM","SMYRNIUM","APIACEAE","Dicliny","andromonoecious","SMYRNIUM OLUSATRUM","SMYRNIUM","APIACEAE"
1290210010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","BUNIUM BULBOCASTANUM","BUNIUM","APIACEAE",NA,NA,NA,NA,NA
1290220010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CONOPODIUM MAJUS",6,"Clonality: normal state","Little or no vegetative spread","CONOPODIUM MAJUS","CONOPODIUM","APIACEAE","Dicliny","hermaphrodite","CONOPODIUM MAJUS","CONOPODIUM","APIACEAE"
1290250130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIMPINELLA MAJOR",10,"Clonality: normal state","Little or no vegetative spread","PIMPINELLA MAJOR","PIMPINELLA","APIACEAE","Dicliny","andromonoecious","PIMPINELLA MAJOR","PIMPINELLA","APIACEAE"
1290250130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIMPINELLA MAJOR",10,"Clonality: normal state","Little or no vegetative spread","PIMPINELLA MAJOR","PIMPINELLA","APIACEAE","Dicliny","gynodioecious","PIMPINELLA MAJOR","PIMPINELLA","APIACEAE"
1290250130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIMPINELLA MAJOR",10,"Clonality: normal state","Little or no vegetative spread","PIMPINELLA MAJOR","PIMPINELLA","APIACEAE","Dicliny","hermaphrodite","PIMPINELLA MAJOR","PIMPINELLA","APIACEAE"
1290250160,"Mature leaf P concentration (mg/g)","1-2","PIMPINELLA SAXIFRAGA","PIMPINELLA","APIACEAE","Mature leaf N concentration (mg/g)","10-20","PIMPINELLA SAXIFRAGA","PIMPINELLA","APIACEAE","PIMPINELLA SAXIFRAGA",15,"Clonality: normal state","Little or no vegetative spread","PIMPINELLA SAXIFRAGA","PIMPINELLA","APIACEAE","Dicliny","andromonoecious","PIMPINELLA SAXIFRAGA","PIMPINELLA","APIACEAE"
1290250160,"Mature leaf P concentration (mg/g)","1-2","PIMPINELLA SAXIFRAGA","PIMPINELLA","APIACEAE","Mature leaf N concentration (mg/g)","10-20","PIMPINELLA SAXIFRAGA","PIMPINELLA","APIACEAE","PIMPINELLA SAXIFRAGA",15,"Clonality: normal state","Little or no vegetative spread","PIMPINELLA SAXIFRAGA","PIMPINELLA","APIACEAE","Dicliny","hermaphrodite","PIMPINELLA SAXIFRAGA","PIMPINELLA","APIACEAE"
1290250160,"Mature leaf P concentration (mg/g)","1-2","PIMPINELLA SAXIFRAGA","PIMPINELLA","APIACEAE","Mature leaf N concentration (mg/g)","10-20","PIMPINELLA SAXIFRAGA","PIMPINELLA","APIACEAE","PIMPINELLA SAXIFRAGA",15,"Clonality: normal state","Little or no vegetative spread","PIMPINELLA SAXIFRAGA","PIMPINELLA","APIACEAE","Dicliny","gynodioecious","PIMPINELLA SAXIFRAGA","PIMPINELLA","APIACEAE"
1290260010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEGOPODIUM PODAGRARIA",18,"Clonality: normal state","Rhizome far creeping","AEGOPODIUM PODAGRARIA","AEGOPODIUM","APIACEAE","Dicliny","andromonoecious","AEGOPODIUM PODAGRARIA","AEGOPODIUM","APIACEAE"
1290270010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SIUM LATIFOLIUM",3,"Clonality: normal state","Little or no vegetative spread","SIUM LATIFOLIUM","SIUM","APIACEAE","Dicliny","andromonoecious","SIUM LATIFOLIUM","SIUM","APIACEAE"
1290280010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BERULA ERECTA",1,"Clonality: normal state","Irregularly fragmenting (mainly water plants)","BERULA ERECTA","BERULA","APIACEAE",NA,NA,NA,NA,NA
1290290010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CRITHMUM MARITIMUM",2,"Clonality: normal state","Little or no vegetative spread","CRITHMUM MARITIMUM","CRITHMUM","APIACEAE","Dicliny","hermaphrodite","CRITHMUM MARITIMUM","CRITHMUM","APIACEAE"
1290320010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SESELI LIBANOTIS",1,"Clonality: normal state","Little or no vegetative spread","SESELI LIBANOTIS","SESELI","APIACEAE","Dicliny","gynodioecious","SESELI LIBANOTIS","SESELI","APIACEAE"
1290320010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SESELI LIBANOTIS",1,"Clonality: normal state","Little or no vegetative spread","SESELI LIBANOTIS","SESELI","APIACEAE","Dicliny","hermaphrodite","SESELI LIBANOTIS","SESELI","APIACEAE"
1290320010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SESELI LIBANOTIS",1,"Clonality: normal state","Little or no vegetative spread","SESELI LIBANOTIS","SESELI","APIACEAE","Dicliny","andromonoecious","SESELI LIBANOTIS","SESELI","APIACEAE"
1290330030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OENANTHE FISTULOSA",1,"Clonality: normal state","Little or no vegetative spread","OENANTHE FISTULOSA","OENANTHE","APIACEAE","Dicliny","andromonoecious","OENANTHE FISTULOSA","OENANTHE","APIACEAE"
1290330040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OENANTHE PIMPINELLOIDES",3,"Clonality: normal state","Little or no vegetative spread","OENANTHE PIMPINELLOIDES","OENANTHE","APIACEAE",NA,NA,NA,NA,NA
1290330070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OENANTHE SILAIFOLIA",2,"Clonality: normal state","Little or no vegetative spread","OENANTHE SILAIFOLIA","OENANTHE","APIACEAE",NA,NA,NA,NA,NA
1290330090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","OENANTHE LACHENALII","OENANTHE","APIACEAE",NA,NA,NA,NA,NA
1290330110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OENANTHE CROCATA",9,"Clonality: normal state","Little or no vegetative spread","OENANTHE CROCATA","OENANTHE","APIACEAE",NA,NA,NA,NA,NA
1290330120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Extensively creeping and rooting at nodes","OENANTHE FLUVIATILIS","OENANTHE","APIACEAE",NA,NA,NA,NA,NA
1290330130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OENANTHE AQUATICA",4,"Clonality: normal state","Little or no vegetative spread","OENANTHE AQUATICA","OENANTHE","APIACEAE","Dicliny","andromonoecious","OENANTHE AQUATICA","OENANTHE","APIACEAE"
1290350010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AETHUSA CYNAPIUM",5,"Clonality: normal state","Little or no vegetative spread","AETHUSA CYNAPIUM","AETHUSA","APIACEAE","Dicliny","hermaphrodite","AETHUSA CYNAPIUM","AETHUSA","APIACEAE"
1290350010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AETHUSA CYNAPIUM",5,"Clonality: normal state","Little or no vegetative spread","AETHUSA CYNAPIUM","AETHUSA","APIACEAE","Dicliny","andromonoecious","AETHUSA CYNAPIUM","AETHUSA","APIACEAE"
1290400010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","FOENICULUM VULGARE","FOENICULUM","APIACEAE",NA,NA,NA,NA,NA
1290430010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SILAUM SILAUS",7,"Clonality: normal state","Little or no vegetative spread","SILAUM SILAUS","SILAUM","APIACEAE",NA,NA,NA,NA,NA
1290450010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEUM ATHAMANTICUM",2,"Clonality: normal state","Little or no vegetative spread","MEUM ATHAMANTICUM","MEUM","APIACEAE","Dicliny","andromonoecious","MEUM ATHAMANTICUM","MEUM","APIACEAE"
1290460010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","PHYSOSPERMUM CORNUBIENSE","PHYSOSPERMUM","APIACEAE","Dicliny","hermaphrodite","PHYSOSPERMUM CORNUBIENSE","PHYSOSPERMUM","APIACEAE"
1290470010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CONIUM MACULATUM",10,"Clonality: normal state","Little or no vegetative spread","CONIUM MACULATUM","CONIUM","APIACEAE","Dicliny","hermaphrodite","CONIUM MACULATUM","CONIUM","APIACEAE"
1290560110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","BUPLEURUM BALDENSE","BUPLEURUM","APIACEAE",NA,NA,NA,NA,NA
1290560230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","BUPLEURUM TENUISSIMUM","BUPLEURUM","APIACEAE",NA,NA,NA,NA,NA
1290560290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","BUPLEURUM FALCATUM","BUPLEURUM","APIACEAE",NA,NA,NA,NA,NA
1290570010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","TRINIA GLAUCA","TRINIA","APIACEAE","Dicliny","gynodioecious","TRINIA GLAUCA","TRINIA","APIACEAE"
1290570010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","TRINIA GLAUCA","TRINIA","APIACEAE","Dicliny","dioecious","TRINIA GLAUCA","TRINIA","APIACEAE"
1290590010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APIUM GRAVEOLENS",5,"Clonality: normal state","Little or no vegetative spread","APIUM GRAVEOLENS","APIUM","APIACEAE","Dicliny","hermaphrodite","APIUM GRAVEOLENS","APIUM","APIACEAE"
1290590020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APIUM NODIFLORUM",2,"Clonality: normal state","Irregularly fragmenting (mainly water plants)","APIUM NODIFLORUM","APIUM","APIACEAE","Dicliny","hermaphrodite","APIUM NODIFLORUM","APIUM","APIACEAE"
1290590030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Extensively creeping and rooting at nodes","APIUM REPENS","APIUM","APIACEAE","Dicliny","hermaphrodite","APIUM REPENS","APIUM","APIACEAE"
1290590040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Irregularly fragmenting (mainly water plants)","APIUM INUNDATUM","APIUM","APIACEAE","Dicliny","hermaphrodite","APIUM INUNDATUM","APIUM","APIACEAE"
1290600020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","PETROSELINUM SEGETUM","PETROSELINUM","APIACEAE",NA,NA,NA,NA,NA
1290620010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SISON AMOMUM",1,"Clonality: normal state","Little or no vegetative spread","SISON AMOMUM","SISON","APIACEAE",NA,NA,NA,NA,NA
1290630010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CICUTA VIROSA",1,"Clonality: normal state","Little or no vegetative spread","CICUTA VIROSA","CICUTA","APIACEAE","Dicliny","andromonoecious","CICUTA VIROSA","CICUTA","APIACEAE"
1290710030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARUM VERTICILLATUM",1,"Clonality: normal state","Little or no vegetative spread","CARUM VERTICILLATUM","CARUM","APIACEAE",NA,NA,NA,NA,NA
1290760010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SELINUM CARVIFOLIA",2,"Clonality: normal state","Little or no vegetative spread","SELINUM CARVIFOLIA","SELINUM","APIACEAE","Dicliny","andromonoecious","SELINUM CARVIFOLIA","SELINUM","APIACEAE"
1290770070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LIGUSTICUM SCOTICUM",9,"Clonality: normal state","Little or no vegetative spread","LIGUSTICUM SCOTICUM","LIGUSTICUM","APIACEAE","Dicliny","hermaphrodite","LIGUSTICUM SCOTICUM","LIGUSTICUM","APIACEAE"
1290800020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANGELICA SYLVESTRIS",21,"Clonality: normal state","Little or no vegetative spread","ANGELICA SYLVESTRIS","ANGELICA","APIACEAE","Dicliny","hermaphrodite","ANGELICA SYLVESTRIS","ANGELICA","APIACEAE"
1290800020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANGELICA SYLVESTRIS",21,"Clonality: normal state","Little or no vegetative spread","ANGELICA SYLVESTRIS","ANGELICA","APIACEAE","Dicliny","andromonoecious","ANGELICA SYLVESTRIS","ANGELICA","APIACEAE"
1290800030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANGELICA ARCHANGELICA",6,NA,NA,NA,NA,NA,"Dicliny","hermaphrodite","ANGELICA ARCHANGELICA","ANGELICA","APIACEAE"
1290900010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEUCEDANUM OFFICINALE",5,"Clonality: normal state","Little or no vegetative spread","PEUCEDANUM OFFICINALE","PEUCEDANUM","APIACEAE",NA,NA,NA,NA,NA
1290900240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEUCEDANUM PALUSTRE",5,"Clonality: normal state","Little or no vegetative spread","PEUCEDANUM PALUSTRE","PEUCEDANUM","APIACEAE",NA,NA,NA,NA,NA
1290900260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEUCEDANUM OSTRUTHIUM",1,"Clonality: normal state","Little or no vegetative spread","PEUCEDANUM OSTRUTHIUM","PEUCEDANUM","APIACEAE",NA,NA,NA,NA,NA
1290910010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PASTINACA SATIVA",26,"Clonality: normal state","Little or no vegetative spread","PASTINACA SATIVA","PASTINACA","APIACEAE","Dicliny","andromonoecious","PASTINACA SATIVA","PASTINACA","APIACEAE"
1290920050,"Mature leaf P concentration (mg/g)",">3","HERACLEUM SPHONDYLIUM","HERACLEUM","APIACEAE","Mature leaf N concentration (mg/g)",">30","HERACLEUM SPHONDYLIUM","HERACLEUM","APIACEAE","HERACLEUM SPHONDYLIUM",34,"Clonality: normal state","Little or no vegetative spread","HERACLEUM SPHONDYLIUM","HERACLEUM","APIACEAE","Dicliny","andromonoecious","HERACLEUM SPHONDYLIUM","HERACLEUM","APIACEAE"
1290920050,"Mature leaf P concentration (mg/g)",">3","HERACLEUM SPHONDYLIUM","HERACLEUM","APIACEAE","Mature leaf N concentration (mg/g)",">30","HERACLEUM SPHONDYLIUM","HERACLEUM","APIACEAE","HERACLEUM SPHONDYLIUM",34,"Clonality: normal state","Little or no vegetative spread","HERACLEUM SPHONDYLIUM","HERACLEUM","APIACEAE","Dicliny","gynodioecious","HERACLEUM SPHONDYLIUM","HERACLEUM","APIACEAE"
1290920090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HERACLEUM MANTEGAZZIANUM",2,"Clonality: normal state","Little or no vegetative spread","HERACLEUM MANTEGAZZIANUM","HERACLEUM","APIACEAE","Dicliny","hermaphrodite","HERACLEUM MANTEGAZZIANUM","HERACLEUM","APIACEAE"
1291020010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","TORILIS NODOSA","TORILIS","APIACEAE",NA,NA,NA,NA,NA
1291020030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TORILIS JAPONICA",9,"Clonality: normal state","Little or no vegetative spread","TORILIS JAPONICA","TORILIS","APIACEAE","Dicliny","andromonoecious","TORILIS JAPONICA","TORILIS","APIACEAE"
1291080080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAUCUS CAROTA",36,"Clonality: normal state","Little or no vegetative spread","DAUCUS CAROTA","DAUCUS","APIACEAE","Dicliny","andromonoecious","DAUCUS CAROTA","DAUCUS","APIACEAE"
1291080080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAUCUS CAROTA",36,"Clonality: normal state","Little or no vegetative spread","DAUCUS CAROTA","DAUCUS","APIACEAE","Dicliny","hermaphrodite","DAUCUS CAROTA","DAUCUS","APIACEAE"
1291080080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAUCUS CAROTA",36,"Clonality: normal state","Little or no vegetative spread","DAUCUS CAROTA","DAUCUS","APIACEAE","Dicliny","gynodioecious","DAUCUS CAROTA","DAUCUS","APIACEAE"
1300010010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","DIAPENSIA LAPPONICA","DIAPENSIA","DIAPENSIACEAE","Dicliny","hermaphrodite","DIAPENSIA LAPPONICA","DIAPENSIA","DIAPENSIACEAE"
1310010010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome shortly creeping","PYROLA MINOR","PYROLA","PYROLACEAE","Dicliny","hermaphrodite","PYROLA MINOR","PYROLA","PYROLACEAE"
1310010020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome shortly creeping","PYROLA MEDIA","PYROLA","PYROLACEAE","Dicliny","hermaphrodite","PYROLA MEDIA","PYROLA","PYROLACEAE"
1310010040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome shortly creeping","PYROLA ROTUNDIFOLIA","PYROLA","PYROLACEAE","Dicliny","hermaphrodite","PYROLA ROTUNDIFOLIA","PYROLA","PYROLACEAE"
1310020010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome shortly creeping","ORTHILIA SECUNDA","ORTHILIA","PYROLACEAE","Dicliny","hermaphrodite","ORTHILIA SECUNDA","ORTHILIA","PYROLACEAE"
1310030010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome shortly creeping","MONESES UNIFLORA","MONESES","PYROLACEAE","Dicliny","hermaphrodite","MONESES UNIFLORA","MONESES","PYROLACEAE"
1310050010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Rhizome shortly creeping","MONOTROPA HYPOPITYS","MONOTROPA","MONOTROPACEAE","Dicliny","hermaphrodite","MONOTROPA HYPOPITYS","MONOTROPA","MONOTROPACEAE"
1320010020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERICA CILIARIS",7,"Clonality: normal state","Little or no vegetative spread","ERICA CILIARIS","ERICA","ERICACEAE","Dicliny","hermaphrodite","ERICA CILIARIS","ERICA","ERICACEAE"
1320010030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ERICA MACKAIANA","ERICA","ERICACEAE","Dicliny","hermaphrodite","ERICA MACKAIANA","ERICA","ERICACEAE"
